user,recipient,subject,has_attachment,attachment_size,timestamp
user8,colleague@company.com,Subject_3861,True,12.87,2025-12-03 21:40:43
user7,external@partner.com,Subject_5830,False,0.0,2025-12-03 20:15:43
user12,colleague@company.com,Subject_6721,False,0.0,2025-12-03 18:07:43
user14,personal@gmail.com,Subject_8176,False,0.0,2025-12-03 17:18:43
user10,external@partner.com,Subject_4495,False,0.0,2025-12-03 13:07:43
user7,external@partner.com,Subject_2082,False,0.0,2025-12-03 12:58:43
user15,manager@company.com,Subject_9187,True,12.6,2025-12-03 11:32:43
user7,manager@company.com,Subject_2217,False,0.0,2025-12-03 11:21:43
user3,manager@company.com,Subject_5945,False,0.0,2025-12-03 11:00:43
user9,external@partner.com,Subject_8107,True,18.67,2025-12-03 10:28:43
user20,personal@gmail.com,Subject_4381,False,0.0,2025-12-03 07:35:43
user15,manager@company.com,Subject_1405,False,0.0,2025-12-03 07:33:43
user3,manager@company.com,Subject_7704,False,0.0,2025-12-03 05:44:43
user20,manager@company.com,Subject_5066,True,2.48,2025-12-03 05:31:43
user13,personal@gmail.com,Subject_4693,False,0.0,2025-12-03 04:48:43
user4,manager@company.com,Subject_3296,False,0.0,2025-12-03 02:51:43
user8,colleague@company.com,Subject_8580,False,0.0,2025-12-02 23:54:43
user17,colleague@company.com,Subject_1909,True,19.67,2025-12-02 23:49:43
user4,external@partner.com,Subject_9857,False,0.0,2025-12-02 23:35:43
user15,external@partner.com,Subject_7391,False,0.0,2025-12-02 23:15:43
user8,colleague@company.com,Subject_5094,False,0.0,2025-12-02 22:41:43
user8,manager@company.com,Subject_4827,True,15.41,2025-12-02 22:08:43
user17,colleague@company.com,Subject_8950,True,1.41,2025-12-02 20:50:43
user14,external@partner.com,Subject_6398,False,0.0,2025-12-02 20:32:43
user10,manager@company.com,Subject_7922,True,9.04,2025-12-02 18:46:43
user16,personal@gmail.com,Subject_3823,False,0.0,2025-12-02 18:28:43
user3,colleague@company.com,Subject_7873,False,0.0,2025-12-02 17:11:43
user13,external@partner.com,Subject_6125,False,0.0,2025-12-02 17:05:43
user20,personal@gmail.com,Subject_9703,False,0.0,2025-12-02 17:02:43
user8,external@partner.com,Subject_7297,False,0.0,2025-12-02 16:32:43
user2,manager@company.com,Subject_4700,False,0.0,2025-12-02 15:41:43
user9,manager@company.com,Subject_2774,False,0.0,2025-12-02 14:14:43
user16,colleague@company.com,Subject_9069,True,3.18,2025-12-02 14:10:43
user3,manager@company.com,Subject_4626,False,0.0,2025-12-02 13:38:43
user8,manager@company.com,Subject_1350,False,0.0,2025-12-02 12:33:43
user7,colleague@company.com,Subject_6588,True,8.66,2025-12-02 11:25:43
user20,external@partner.com,Subject_3118,False,0.0,2025-12-02 11:23:43
user7,external@partner.com,Subject_3290,False,0.0,2025-12-02 10:54:43
user1,manager@company.com,Subject_8159,True,3.09,2025-12-02 10:50:43
user12,colleague@company.com,Subject_7778,False,0.0,2025-12-02 09:40:43
user12,colleague@company.com,Subject_1991,True,5.52,2025-12-02 07:31:43
user7,external@partner.com,Subject_9376,True,1.63,2025-12-02 07:25:43
user17,colleague@company.com,Subject_5630,True,18.08,2025-12-02 07:17:43
user6,manager@company.com,Subject_5315,False,0.0,2025-12-02 07:11:43
user5,colleague@company.com,Subject_3690,False,0.0,2025-12-02 06:59:43
user5,colleague@company.com,Subject_2148,False,0.0,2025-12-02 06:55:43
user5,colleague@company.com,Subject_8817,False,0.0,2025-12-02 06:41:43
user18,colleague@company.com,Subject_6576,False,0.0,2025-12-02 06:30:43
user20,personal@gmail.com,Subject_4296,True,4.41,2025-12-02 06:07:43
user9,colleague@company.com,Subject_9122,False,0.0,2025-12-02 04:36:43
